forecast_date,city_id,temp,humidity,wind_speed,rain_prob,description,date_extraction
2020-07-10,2,26.0,50.5,21.2,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-07-09
2020-07-11,2,21.5,55.8,26.8,100.0,Clearing in the afternoon with early morning rain.,2020-07-10
2020-07-12,2,21.6,44.7,17.7,0.0,Clear conditions throughout the day.,2020-07-11
2020-07-13,2,22.9,40.4,21.8,0.0,Partly cloudy throughout the day.,2020-07-12
2020-07-14,2,22.8,40.9,19.6,0.0,Partly cloudy throughout the day.,2020-07-13
2020-07-15,2,19.5,61.2,19.2,100.0,Cloudy skies throughout the day with rain.,2020-07-14
2020-07-16,2,19.9,61.8,22.9,100.0,Cloudy skies throughout the day with early morning rain.,2020-07-15
2020-07-17,2,20.0,65.4,32.1,100.0,Cloudy skies throughout the day with morning rain.,2020-07-16
2020-07-18,2,22.2,53.7,25.2,0.0,Clear conditions throughout the day.,2020-07-17
2020-07-19,2,23.6,46.7,15.1,0.0,Clear conditions throughout the day.,2020-07-18
2020-07-20,2,25.9,44.6,16.2,0.0,Clear conditions throughout the day.,2020-07-19
2020-07-21,2,26.6,51.2,16.5,100.0,Clearing in the afternoon with late afternoon rain.,2020-07-20
2020-07-22,2,23.5,68.1,21.9,100.0,Partly cloudy throughout the day with a chance of rain throughout the day.,2020-07-21
2020-07-23,2,23.9,59.6,15.5,100.0,Partly cloudy throughout the day with rain clearing later.,2020-07-22
2020-07-24,2,25.0,45.4,19.5,100.0,Partly cloudy throughout the day with morning rain.,2020-07-23
2020-07-25,2,25.1,42.9,10.5,0.0,Partly cloudy throughout the day.,2020-07-24
2020-07-26,2,26.1,45.4,13.4,0.0,Partly cloudy throughout the day.,2020-07-25
2020-07-27,2,27.4,49.4,30.2,0.0,Clear conditions throughout the day.,2020-07-26
2020-07-28,2,27.5,50.3,26.1,0.0,Partly cloudy throughout the day.,2020-07-27
2020-07-29,2,26.1,43.2,15.6,0.0,Clearing in the afternoon.,2020-07-28
2020-07-30,2,28.0,39.9,17.1,0.0,Partly cloudy throughout the day.,2020-07-29
2020-07-31,2,31.0,38.6,22.1,0.0,Partly cloudy throughout the day.,2020-07-30
2020-08-01,2,27.6,52.2,49.3,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-07-31
2020-08-02,2,23.1,70.8,19.7,100.0,Partly cloudy throughout the day with rain.,2020-08-01
2020-08-03,2,19.9,63.5,27.8,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-08-02
2020-08-04,2,18.7,62.2,27.6,100.0,Partly cloudy throughout the day with early morning rain.,2020-08-03
2020-08-05,2,21.5,49.8,14.5,0.0,Clear conditions throughout the day.,2020-08-04
2020-08-06,2,23.9,44.8,14.1,0.0,Clear conditions throughout the day.,2020-08-05
2020-08-07,2,26.5,41.1,10.5,0.0,Clear conditions throughout the day.,2020-08-06
2020-08-08,2,28.1,39.1,12.2,0.0,Partly cloudy throughout the day.,2020-08-07
2020-08-09,2,28.3,42.0,27.4,0.0,Partly cloudy throughout the day.,2020-08-08
2020-08-10,2,26.9,50.4,33.0,100.0,Partly cloudy throughout the day with rain.,2020-08-09
2020-08-11,2,28.0,49.4,16.9,0.0,Clearing in the afternoon.,2020-08-10
2020-08-12,2,28.3,43.6,32.5,0.0,Partly cloudy throughout the day.,2020-08-11
2020-08-13,2,24.4,58.5,24.8,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-08-12
2020-08-14,2,23.5,67.9,13.1,100.0,Partly cloudy throughout the day with morning rain.,2020-08-13
2020-08-15,2,24.8,55.4,12.1,0.0,Partly cloudy throughout the day.,2020-08-14
2020-08-16,2,22.5,64.4,15.4,100.0,Partly cloudy throughout the day with rain.,2020-08-15
2020-08-17,2,22.9,64.3,12.2,100.0,Partly cloudy throughout the day with rain clearing later.,2020-08-16
2020-08-18,2,24.2,51.5,9.9,100.0,Partly cloudy throughout the day with early morning rain.,2020-08-17
2020-08-19,2,25.5,51.7,27.3,0.0,Partly cloudy throughout the day.,2020-08-18
2020-08-20,2,28.0,49.3,42.4,100.0,Clear conditions throughout the day with early morning rain.,2020-08-19
2020-08-21,2,29.4,39.2,36.7,0.0,Partly cloudy throughout the day.,2020-08-20
2020-08-22,2,23.6,62.0,19.0,100.0,Partly cloudy throughout the day with rain clearing later.,2020-08-21
2020-08-23,2,21.8,51.4,21.3,0.0,Partly cloudy throughout the day.,2020-08-22
